region	chr	midPos	Nsites
(1126,4076)(6000,10999)(6000,11000)	scaffold_110	8500	2952	0.048166
(97,2377)(1101,5987)(1000,6000)	scaffold_111	3500	2282	0.049301
(539,2676)(2013,6834)(2000,7000)	scaffold_111	4500	2139	0.049369
(1014,3073)(3000,7894)(3000,8000)	scaffold_111	5500	2061	0.049485
(320,2262)(1000,4636)(1000,6000)	scaffold_112	3500	1944	0.048457
(1124,2464)(2106,6999)(2000,7000)	scaffold_112	4500	1342	0.049167
(1680,2848)(3163,7892)(3000,8000)	scaffold_112	5500	1170	0.049473
(2166,2966)(4540,8805)(4000,9000)	scaffold_112	6500	802	0.049636
(2263,3435)(6661,9999)(5000,10000)	scaffold_112	7500	1174	0.049482
(142,1179)(2915,5999)(1000,6000)	scaffold_113	3500	1039	0.049070
(142,1793)(2915,6999)(2000,7000)	scaffold_113	4500	1653	0.049100
(227,2037)(3000,7788)(3000,8000)	scaffold_113	5500	1812	0.049134
(590,2321)(4000,8999)(4000,9000)	scaffold_113	6500	1733	0.049130
(945,2908)(5000,9921)(5000,10000)	scaffold_113	7500	1965	0.049162
(184,1772)(1051,5988)(1000,6000)	scaffold_114	3500	1590	0.048390
(503,2341)(2000,6999)(2000,7000)	scaffold_114	4500	1840	0.047699
(1006,2507)(3000,7848)(3000,8000)	scaffold_114	5500	1503	0.048238
(1343,2725)(4188,8837)(4000,9000)	scaffold_114	6500	1384	0.048148
(305,1770)(1123,5652)(1000,6000)	scaffold_115	3500	1467	0.049250
(592,1860)(2024,6253)(2000,7000)	scaffold_115	4500	1270	0.049343
(880,2258)(3000,7999)(3000,8000)	scaffold_115	5500	1380	0.049206
(1365,2858)(4273,8999)(4000,9000)	scaffold_115	6500	1495	0.049166
(266,2532)(1109,5954)(1000,6000)	scaffold_116	3500	2268	0.056164
(723,2632)(2000,6162)(2000,7000)	scaffold_116	4500	1911	0.057144
(1036,2997)(3452,7999)(3000,8000)	scaffold_116	5500	1963	0.056804
(1516,3402)(4012,8996)(4000,9000)	scaffold_116	6500	1888	0.057877
(222,1534)(1233,5568)(1000,6000)	scaffold_117	3500	1314	0.048248
(459,1788)(2327,6835)(2000,7000)	scaffold_117	4500	1331	0.048258
(882,1831)(3016,7476)(3000,8000)	scaffold_117	5500	951	0.047854
(210,2114)(1413,5856)(1000,6000)	scaffold_118	3500	1906	0.049254
(425,2164)(2012,6999)(2000,7000)	scaffold_118	4500	1741	0.049264
(704,2529)(3174,7999)(3000,8000)	scaffold_118	5500	1827	0.049252
(208,1706)(1052,5999)(1000,6000)	scaffold_119	3500	1500	0.049160
(481,1841)(2572,6608)(2000,7000)	scaffold_119	4500	1362	0.049237
(663,2047)(3000,7917)(3000,8000)	scaffold_119	5500	1386	0.049196
(20,1412)(1046,5963)(1000,6000)	scaffold_12	3500	1394	0.049413
(120,2036)(2079,6916)(2000,7000)	scaffold_12	4500	1918	0.049380
(425,2679)(3000,7876)(3000,8000)	scaffold_12	5500	2256	0.049369
(863,3009)(4331,8721)(4000,9000)	scaffold_12	6500	2148	0.049202
(1191,3120)(5025,9678)(5000,10000)	scaffold_12	7500	1931	0.049221
(1413,3613)(6183,10999)(6000,11000)	scaffold_12	8500	2202	0.048666
(2037,4089)(7006,11999)(7000,12000)	scaffold_12	9500	2054	0.048596
(2680,4534)(8000,12999)(8000,13000)	scaffold_12	10500	1856	0.048570
(3010,4967)(9222,13873)(9000,14000)	scaffold_12	11500	1959	0.048602
(3121,5357)(10054,14847)(10000,15000)	scaffold_12	12500	2238	0.048749
(3614,5460)(11000,15858)(11000,16000)	scaffold_12	13500	1848	0.049355
(4090,5609)(12000,16807)(12000,17000)	scaffold_12	14500	1521	0.049392
(4535,5855)(13000,17676)(13000,18000)	scaffold_12	15500	1322	0.049451
(4968,6116)(14058,18999)(14000,19000)	scaffold_12	16500	1150	0.049540
(5358,6525)(15039,19995)(15000,20000)	scaffold_12	17500	1169	0.049461
(5461,6920)(16390,20970)(16000,21000)	scaffold_12	18500	1461	0.049471
(5610,7329)(17061,21999)(17000,22000)	scaffold_12	19500	1721	0.049429
(5856,7681)(18152,22959)(18000,23000)	scaffold_12	20500	1827	0.049314
(6117,8053)(19000,23534)(19000,24000)	scaffold_12	21500	1938	0.048661
(6526,8111)(20183,24748)(20000,25000)	scaffold_12	22500	1587	0.048493
(6921,8271)(21048,25870)(21000,26000)	scaffold_12	23500	1352	0.048259
(7330,8918)(22000,26960)(22000,27000)	scaffold_12	24500	1590	0.047603
(7682,9018)(23015,27303)(23000,28000)	scaffold_12	25500	1338	0.047331
(8054,9018)(24691,27303)(24000,29000)	scaffold_12	26500	966	0.047924
(8112,9118)(25017,29943)(25000,30000)	scaffold_12	27500	1008	0.047961
(8272,9463)(26033,30647)(26000,31000)	scaffold_12	28500	1193	0.048087
(8919,9686)(27204,31442)(27000,32000)	scaffold_12	29500	769	0.049373
(9019,10076)(29844,32863)(28000,33000)	scaffold_12	30500	1059	0.049258
(9019,10552)(29844,33904)(29000,34000)	scaffold_12	31500	1535	0.049134
(9119,10891)(30013,34999)(30000,35000)	scaffold_12	32500	1774	0.049123
(9464,11467)(31009,35999)(31000,36000)	scaffold_12	33500	2005	0.049141
(9687,11826)(32181,36819)(32000,37000)	scaffold_12	34500	2141	0.049126
(10077,12583)(33008,37999)(33000,38000)	scaffold_12	35500	2508	0.049138
(10553,12937)(34074,38665)(34000,39000)	scaffold_12	36500	2386	0.049181
(10892,13303)(35000,39830)(35000,40000)	scaffold_12	37500	2413	0.049185
(11468,13628)(36000,40892)(36000,41000)	scaffold_12	38500	2162	0.049220
(11827,13953)(37052,41636)(37000,42000)	scaffold_12	39500	2128	0.049159
(12584,14478)(38000,42909)(38000,43000)	scaffold_12	40500	1896	0.049217
(12938,14901)(39009,43999)(39000,44000)	scaffold_12	41500	1965	0.049220
(13304,15207)(40120,44870)(40000,45000)	scaffold_12	42500	1905	0.049263
(13629,15307)(41095,45744)(41000,46000)	scaffold_12	43500	1680	0.049252
(13954,15780)(42059,46788)(42000,47000)	scaffold_12	44500	1828	0.049210
(14479,15924)(43163,47525)(43000,48000)	scaffold_12	45500	1447	0.049135
(14902,16189)(44000,48999)(44000,49000)	scaffold_12	46500	1289	0.049210
(15208,16702)(45645,49999)(45000,50000)	scaffold_12	47500	1496	0.049228
(15308,17192)(46019,50999)(46000,51000)	scaffold_12	48500	1886	0.049141
(15781,17676)(47011,51774)(47000,52000)	scaffold_12	49500	1897	0.049140
(15925,17810)(48480,52999)(48000,53000)	scaffold_12	50500	1887	0.049205
(16190,18237)(49000,53771)(49000,54000)	scaffold_12	51500	2049	0.049266
(16703,18662)(50000,54999)(50000,55000)	scaffold_12	52500	1961	0.049279
(17193,19144)(51000,55999)(51000,56000)	scaffold_12	53500	1953	0.049413
(17677,19590)(52848,56999)(52000,57000)	scaffold_12	54500	1915	0.049435
(17811,20240)(53000,57999)(53000,58000)	scaffold_12	55500	2431	0.049384
(18238,20586)(54001,58848)(54000,59000)	scaffold_12	56500	2350	0.048666
(18663,20796)(55000,59719)(55000,60000)	scaffold_12	57500	2135	0.048566
(19145,21441)(56000,60999)(56000,61000)	scaffold_12	58500	2298	0.048527
(19591,21901)(57000,61980)(57000,62000)	scaffold_12	59500	2312	0.048605
(20241,22590)(58000,62870)(58000,63000)	scaffold_12	60500	2351	0.048584
(20587,22959)(59023,63995)(59000,64000)	scaffold_12	61500	2374	0.049176
(20797,23241)(60084,64994)(60000,65000)	scaffold_12	62500	2446	0.049213
(21442,23503)(61000,65921)(61000,66000)	scaffold_12	63500	2063	0.049276
(21902,23929)(62032,66886)(62000,67000)	scaffold_12	64500	2029	0.049259
(22591,23929)(63065,66886)(63000,68000)	scaffold_12	65500	1340	0.049266
(22960,23929)(64342,66886)(64000,69000)	scaffold_12	66500	971	0.049333
(23242,23929)(65021,66886)(65000,70000)	scaffold_12	67500	689	0.049292
(23504,23929)(66016,66886)(66000,71000)	scaffold_12	68500	427	0.049292
(23930,24201)(73065,73651)(69000,74000)	scaffold_12	71500	273	0.050336
(23930,24305)(73065,74951)(70000,75000)	scaffold_12	72500	377	0.050007
(23930,24656)(73065,75897)(71000,76000)	scaffold_12	73500	728	0.049657
(23930,25278)(73065,76999)(72000,77000)	scaffold_12	74500	1350	0.049362
(23930,25975)(73065,77999)(73000,78000)	scaffold_12	75500	2047	0.049322
(24202,26553)(74146,78945)(74000,79000)	scaffold_12	76500	2353	0.049135
(24306,27050)(75227,79991)(75000,80000)	scaffold_12	77500	2746	0.049184
(24657,27291)(76136,80955)(76000,81000)	scaffold_12	78500	2636	0.049173
(25279,27670)(77000,81926)(77000,82000)	scaffold_12	79500	2393	0.049330
(25976,27994)(78000,82943)(78000,83000)	scaffold_12	80500	2020	0.049400
(26554,28486)(79070,83999)(79000,84000)	scaffold_12	81500	1934	0.049512
(27051,28639)(80341,84152)(80000,85000)	scaffold_12	82500	1590	0.049513
(27292,28830)(81083,85537)(81000,86000)	scaffold_12	83500	1540	0.049540
(27671,29127)(82255,86999)(82000,87000)	scaffold_12	84500	1458	0.049406
(27995,29483)(83107,87968)(83000,88000)	scaffold_12	85500	1490	0.049445
(28487,29949)(84000,88823)(84000,89000)	scaffold_12	86500	1464	0.049394
(28640,30524)(85058,89999)(85000,90000)	scaffold_12	87500	1886	0.049413
(28831,30863)(86521,90999)(86000,91000)	scaffold_12	88500	2034	0.049416
(29128,31216)(87000,91675)(87000,92000)	scaffold_12	89500	2090	0.049404
(29484,31617)(88227,92999)(88000,93000)	scaffold_12	90500	2135	0.049363
(29950,31983)(89004,93960)(89000,94000)	scaffold_12	91500	2035	0.049347
(30525,32233)(90000,94975)(90000,95000)	scaffold_12	92500	1710	0.049334
(30864,32567)(91000,95992)(91000,96000)	scaffold_12	93500	1705	0.049382
(31217,32959)(92038,96963)(92000,97000)	scaffold_12	94500	1744	0.049355
(31618,33236)(93000,97999)(93000,98000)	scaffold_12	95500	1620	0.049328
(31984,33585)(94506,98863)(94000,99000)	scaffold_12	96500	1603	0.049405
(32234,33835)(95115,99982)(95000,100000)	scaffold_12	97500	1603	0.049406
(32568,33921)(96256,100889)(96000,101000)	scaffold_12	98500	1355	0.049350
(32960,34443)(97229,101999)(97000,102000)	scaffold_12	99500	1485	0.049480
(33237,34809)(98000,102999)(98000,103000)	scaffold_12	100500	1574	0.049458
(33586,35055)(99091,103998)(99000,104000)	scaffold_12	101500	1471	0.049424
(33836,35353)(100213,104542)(100000,105000)	scaffold_12	102500	1519	0.049451
(33922,35414)(101087,105748)(101000,106000)	scaffold_12	103500	1494	0.049446
(34444,35593)(102000,106849)(102000,107000)	scaffold_12	104500	1151	0.049338
(34810,35814)(103000,107999)(103000,108000)	scaffold_12	105500	1006	0.049371
(35056,36135)(104030,108726)(104000,109000)	scaffold_12	106500	1081	0.049382
(35354,36223)(105373,109593)(105000,110000)	scaffold_12	107500	871	0.049348
(35415,36654)(106057,110814)(106000,111000)	scaffold_12	108500	1241	0.049406
(35594,37144)(107547,111713)(107000,112000)	scaffold_12	109500	1552	0.049409
(35815,37597)(108000,112999)(108000,113000)	scaffold_12	110500	1784	0.049407
(36136,38016)(109244,113912)(109000,114000)	scaffold_12	111500	1882	0.049424
(36224,38080)(110145,114774)(110000,115000)	scaffold_12	112500	1858	0.049426
(36655,38354)(111043,115966)(111000,116000)	scaffold_12	113500	1701	0.049397
(37145,38542)(112038,116370)(112000,117000)	scaffold_12	114500	1399	0.049410
(37598,38742)(113000,117837)(113000,118000)	scaffold_12	115500	1146	0.049366
(38017,38937)(114711,118811)(114000,119000)	scaffold_12	116500	922	0.049295
(38081,39369)(115111,119996)(115000,120000)	scaffold_12	117500	1290	0.049309
(38355,39490)(116183,120999)(116000,121000)	scaffold_12	118500	1137	0.049284
(38543,39825)(117256,121993)(117000,122000)	scaffold_12	119500	1284	0.049252
(38743,40515)(118121,122899)(118000,123000)	scaffold_12	120500	1774	0.049317
(38938,40515)(119091,122899)(119000,124000)	scaffold_12	121500	1579	0.049329
(39370,40515)(120075,122899)(120000,125000)	scaffold_12	122500	1147	0.049324
(39491,40683)(121000,125999)(121000,126000)	scaffold_12	123500	1194	0.049343
(39826,40876)(122005,126885)(122000,127000)	scaffold_12	124500	1052	0.049388
(40516,41050)(125606,127445)(123000,128000)	scaffold_12	125500	536	0.049376
(40516,41206)(125606,128999)(124000,129000)	scaffold_12	126500	692	0.049385
(40516,41421)(125606,129490)(125000,130000)	scaffold_12	127500	907	0.049419
(40684,41606)(126000,130772)(126000,131000)	scaffold_12	128500	924	0.049423
(40877,42055)(127074,131996)(127000,132000)	scaffold_12	129500	1180	0.049397
(41051,42185)(128250,132646)(128000,133000)	scaffold_12	130500	1136	0.049386
(41207,42185)(129000,132646)(129000,134000)	scaffold_12	131500	980	0.049381
(41422,42185)(130081,132646)(130000,135000)	scaffold_12	132500	765	0.049340
(41607,42185)(131142,132646)(131000,136000)	scaffold_12	133500	580	0.049330
(42056,42185)(132344,132646)(132000,137000)	scaffold_12	134500	131	0.049340
(42186,42265)(137920,137999)(133000,138000)	scaffold_12	135500	81	0.049336
(42186,42570)(137920,138994)(134000,139000)	scaffold_12	136500	386	0.049383
(42186,42965)(137920,139999)(135000,140000)	scaffold_12	137500	781	0.049318
(42186,43447)(137920,140864)(136000,141000)	scaffold_12	138500	1263	0.049342
(42186,43699)(137920,141955)(137000,142000)	scaffold_12	139500	1515	0.049253
(42266,44028)(138000,142999)(138000,143000)	scaffold_12	140500	1764	0.049280
(42571,44193)(139005,143802)(139000,144000)	scaffold_12	141500	1624	0.049276
(42966,44293)(140000,144808)(140000,145000)	scaffold_12	142500	1329	0.049287
(43448,44530)(141186,145999)(141000,146000)	scaffold_12	143500	1084	0.049266
(43700,44773)(142096,146678)(142000,147000)	scaffold_12	144500	1075	0.049415
(44029,44773)(143000,146678)(143000,148000)	scaffold_12	145500	746	0.049411
(44194,44783)(144479,148999)(144000,149000)	scaffold_12	146500	591	0.049395
(44294,45193)(145143,149824)(145000,150000)	scaffold_12	147500	901	0.049456
(44531,45619)(146000,150963)(146000,151000)	scaffold_12	148500	1090	0.049445
(44774,45863)(148990,151766)(147000,152000)	scaffold_12	149500	1091	0.049452
(44774,46203)(148990,152999)(148000,153000)	scaffold_12	150500	1431	0.049448
(44784,46593)(149000,153999)(149000,154000)	scaffold_12	151500	1811	0.049431
(45194,46882)(150055,154999)(150000,155000)	scaffold_12	152500	1690	0.049429
(45620,47273)(151041,155769)(151000,156000)	scaffold_12	153500	1655	0.049349
(45864,47608)(152222,156999)(152000,157000)	scaffold_12	154500	1746	0.049285
(46204,47872)(153000,157648)(153000,158000)	scaffold_12	155500	1670	0.049197
(46594,48169)(154000,158934)(154000,159000)	scaffold_12	156500	1577	0.049187
(46883,48478)(155000,159906)(155000,160000)	scaffold_12	157500	1597	0.049181
(47274,48913)(156032,160824)(156000,161000)	scaffold_12	158500	1641	0.049203
(47609,49070)(157000,161977)(157000,162000)	scaffold_12	159500	1463	0.049214
(47873,49375)(158184,162959)(158000,163000)	scaffold_12	160500	1504	0.049260
(48170,49476)(159396,163619)(159000,164000)	scaffold_12	161500	1308	0.049213
(48479,50001)(160031,164936)(160000,165000)	scaffold_12	162500	1524	0.048224
(48914,50226)(161562,165713)(161000,166000)	scaffold_12	163500	1314	0.048079
(49071,50696)(162131,166999)(162000,167000)	scaffold_12	164500	1627	0.048326
(49376,51435)(163105,167900)(163000,168000)	scaffold_12	165500	2061	0.048543
(49477,51809)(164102,168800)(164000,169000)	scaffold_12	166500	2334	0.048550
(50002,51909)(165154,169202)(165000,170000)	scaffold_12	167500	1909	0.049256
(50227,52075)(166032,170475)(166000,171000)	scaffold_12	168500	1850	0.049270
(50697,52249)(167000,171999)(167000,172000)	scaffold_12	169500	1554	0.049252
(51436,52582)(168098,172942)(168000,173000)	scaffold_12	170500	1148	0.049289
(51810,52802)(169103,173745)(169000,174000)	scaffold_12	171500	994	0.049482
(51910,52902)(170036,174578)(170000,175000)	scaffold_12	172500	994	0.049430
(52076,53227)(171386,175730)(171000,176000)	scaffold_12	173500	1153	0.049408
(52250,53445)(172000,176696)(172000,177000)	scaffold_12	174500	1197	0.048299
(52583,53707)(173221,177999)(173000,178000)	scaffold_12	175500	1126	0.048172
(52803,54117)(174479,178967)(174000,179000)	scaffold_12	176500	1316	0.048349
(52903,54350)(175041,179813)(175000,180000)	scaffold_12	177500	1449	0.048365
(53228,54847)(176004,180926)(176000,181000)	scaffold_12	178500	1621	0.048461
(53446,55489)(177062,181999)(177000,182000)	scaffold_12	179500	2045	0.048653
(53708,55839)(178000,182888)(178000,183000)	scaffold_12	180500	2133	0.048696
(54118,56251)(179324,183999)(179000,184000)	scaffold_12	181500	2135	0.048670
(54351,56685)(180047,184998)(180000,185000)	scaffold_12	182500	2336	0.048809
(54848,57125)(181117,185999)(181000,186000)	scaffold_12	183500	2279	0.048723
(55490,57654)(182000,186931)(182000,187000)	scaffold_12	184500	2166	0.049241
(55840,58012)(183170,187834)(183000,188000)	scaffold_12	185500	2174	0.049218
(56252,58416)(184000,188933)(184000,189000)	scaffold_12	186500	2166	0.049247
(56686,58714)(185138,189797)(185000,190000)	scaffold_12	187500	2030	0.049204
(57126,58991)(186000,190871)(186000,191000)	scaffold_12	188500	1867	0.049266
(57655,59390)(187057,191997)(187000,192000)	scaffold_12	189500	1737	0.049267
(58013,59513)(188193,192927)(188000,193000)	scaffold_12	190500	1502	0.049247
(58417,59768)(189080,193907)(189000,194000)	scaffold_12	191500	1353	0.049166
(58715,60274)(190015,194999)(190000,195000)	scaffold_12	192500	1561	0.049082
(58992,60821)(191078,195999)(191000,196000)	scaffold_12	193500	1831	0.049124
(59391,60948)(192157,196999)(192000,197000)	scaffold_12	194500	1559	0.049228
(59514,61222)(193077,197999)(193000,198000)	scaffold_12	195500	1710	0.049216
(59769,61536)(194066,198999)(194000,199000)	scaffold_12	196500	1769	0.049411
(60275,61987)(195000,199805)(195000,200000)	scaffold_12	197500	1714	0.049530
(60822,62206)(196000,200999)(196000,201000)	scaffold_12	198500	1386	0.049605
(60949,62553)(197000,201976)(197000,202000)	scaffold_12	199500	1606	0.049513
(61223,62669)(198000,202363)(198000,203000)	scaffold_12	200500	1448	0.049574
(61537,62918)(199000,203999)(199000,204000)	scaffold_12	201500	1383	0.049419
(61988,63399)(200237,204737)(200000,205000)	scaffold_12	202500	1413	0.048158
(62207,63783)(201000,205999)(201000,206000)	scaffold_12	203500	1578	0.048357
(62554,64285)(202161,206970)(202000,207000)	scaffold_12	204500	1733	0.048564
(62670,64647)(203543,207999)(203000,208000)	scaffold_12	205500	1979	0.048578
(62919,65113)(204000,208999)(204000,209000)	scaffold_12	206500	2196	0.048683
(63400,65610)(205096,209999)(205000,210000)	scaffold_12	207500	2212	0.049428
(63784,66169)(206000,210949)(206000,211000)	scaffold_12	208500	2387	0.049347
(64286,66745)(207043,211999)(207000,212000)	scaffold_12	209500	2461	0.049364
(64648,67132)(208000,212845)(208000,213000)	scaffold_12	210500	2486	0.049382
(65114,67232)(209000,213348)(209000,214000)	scaffold_12	211500	2120	0.049372
(65611,67370)(210000,214774)(210000,215000)	scaffold_12	212500	1761	0.049352
(66170,67474)(211042,215883)(211000,216000)	scaffold_12	213500	1306	0.049377
(66746,67874)(212000,216977)(212000,217000)	scaffold_12	214500	1130	0.049203
(67133,68031)(213249,217999)(213000,218000)	scaffold_12	215500	900	0.049258
(67233,68141)(214302,218805)(214000,219000)	scaffold_12	216500	910	0.049241
(67371,68656)(215117,219954)(215000,220000)	scaffold_12	217500	1287	0.049212
(67475,69171)(216374,220997)(216000,221000)	scaffold_12	218500	1698	0.049199
(67875,69512)(217532,221831)(217000,222000)	scaffold_12	219500	1639	0.049118
(68032,69676)(218000,222758)(218000,223000)	scaffold_12	220500	1646	0.049101
(68142,69687)(219100,223412)(219000,224000)	scaffold_12	221500	1547	0.049071
(68657,69863)(220128,224779)(220000,225000)	scaffold_12	222500	1208	0.049091
(69172,70110)(221074,225999)(221000,226000)	scaffold_12	223500	940	0.049396
(69513,70526)(222264,226900)(222000,227000)	scaffold_12	224500	1015	0.049522
(69677,70715)(223402,227651)(223000,228000)	scaffold_12	225500	1040	0.049737
(69688,71079)(224144,228999)(224000,229000)	scaffold_12	226500	1393	0.049695
(69864,71554)(225014,229943)(225000,230000)	scaffold_12	227500	1692	0.049564
(70111,71857)(226000,230999)(226000,231000)	scaffold_12	228500	1748	0.049365
(70527,72185)(227191,231958)(227000,232000)	scaffold_12	229500	1660	0.049361
(70716,72447)(228091,232999)(228000,233000)	scaffold_12	230500	1733	0.049264
(71080,72713)(229000,233839)(229000,234000)	scaffold_12	231500	1635	0.049202
(71555,72826)(230205,234539)(230000,235000)	scaffold_12	232500	1273	0.049228
(71858,73410)(231000,235999)(231000,236000)	scaffold_12	233500	1554	0.049246
(72186,73756)(232088,236966)(232000,237000)	scaffold_12	234500	1572	0.049236
(72448,74057)(233000,237858)(233000,238000)	scaffold_12	235500	1611	0.049172
(72714,74272)(234060,238999)(234000,239000)	scaffold_12	236500	1560	0.049167
(72827,74615)(235073,239907)(235000,240000)	scaffold_12	237500	1790	0.049170
(73411,75306)(236000,240959)(236000,241000)	scaffold_12	238500	1897	0.049193
(73757,75552)(237185,241968)(237000,242000)	scaffold_12	239500	1797	0.049203
(74058,75861)(238118,242999)(238000,243000)	scaffold_12	240500	1805	0.049259
(74273,76455)(239020,243999)(239000,244000)	scaffold_12	241500	2184	0.048600
(74616,77067)(240066,244764)(240000,245000)	scaffold_12	242500	2453	0.048659
(75307,77367)(241619,245827)(241000,246000)	scaffold_12	243500	2062	0.048515
(75553,77629)(242116,246988)(242000,247000)	scaffold_12	244500	2078	0.048491
(75862,77814)(243000,247999)(243000,248000)	scaffold_12	245500	1954	0.048398
(76456,77974)(244000,248726)(244000,249000)	scaffold_12	246500	1520	0.049098
(77068,78410)(245084,249999)(245000,250000)	scaffold_12	247500	1344	0.049099
(77368,78859)(246090,250993)(246000,251000)	scaffold_12	248500	1493	0.049169
(77630,78988)(247168,251999)(247000,252000)	scaffold_12	249500	1360	0.049205
(77815,79323)(248000,252912)(248000,253000)	scaffold_12	250500	1510	0.049263
(77975,79674)(249016,253738)(249000,254000)	scaffold_12	251500	1701	0.049343
(78411,79874)(250000,254951)(250000,255000)	scaffold_12	252500	1465	0.049397
(78860,80190)(251063,255809)(251000,256000)	scaffold_12	253500	1332	0.049411
(78989,80508)(252000,256941)(252000,257000)	scaffold_12	254500	1521	0.049423
(79324,80651)(253072,257351)(253000,258000)	scaffold_12	255500	1329	0.049378
(79675,80980)(254729,258994)(254000,259000)	scaffold_12	256500	1307	0.049447
(79875,81426)(255164,259970)(255000,260000)	scaffold_12	257500	1553	0.049442
(80191,81619)(256360,260836)(256000,261000)	scaffold_12	258500	1430	0.049449
(80509,81961)(257132,261959)(257000,262000)	scaffold_12	259500	1454	0.049460
(80652,82275)(258222,262999)(258000,263000)	scaffold_12	260500	1625	0.049488
(80981,82613)(259068,263795)(259000,264000)	scaffold_12	261500	1634	0.049396
(81427,82833)(260012,264999)(260000,265000)	scaffold_12	262500	1408	0.049386
(81620,83270)(261081,265999)(261000,266000)	scaffold_12	263500	1652	0.049410
(81962,83465)(262298,266999)(262000,267000)	scaffold_12	264500	1505	0.049413
(82276,83713)(263000,267732)(263000,268000)	scaffold_12	265500	1439	0.049374
(82614,83953)(264036,268767)(264000,269000)	scaffold_12	266500	1341	0.049357
(82834,84364)(265000,269985)(265000,270000)	scaffold_12	267500	1532	0.049362
(83271,84711)(266000,270970)(266000,271000)	scaffold_12	268500	1442	0.049290
(83466,84864)(267000,271950)(267000,272000)	scaffold_12	269500	1400	0.049265
(83714,85039)(268274,272999)(268000,273000)	scaffold_12	270500	1327	0.049316
(83954,85150)(269083,273429)(269000,274000)	scaffold_12	271500	1198	0.049329
